	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	Quelle sont les chances de toucher de l'attaque "Appel de l’hiver" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Barrage de pierres" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Bouillonnant" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Congélation" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Glissade sur le ventre" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Boules de naphtaline" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Frappe nocturne" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Charge sacrée" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Hachoir vicieux" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Moissonneur" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Don du Voile d’hiver" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Eliminer" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Frappe spectrale" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Laser" ?	200%							
	Quelle sont les chances de toucher de l'attaque "Paquet-cadeau du Bling-o-tron" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Pire cauchemar" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Quand les elekk voleront" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Démolir" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Poing en métal" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Barrage d’os" ?	80%							
									
									
	Quelle est la seule classe ayant 2 specialisations dédiées aux soins ?	Le prêtre							
	A quelle classe appartient le sort "Attaque mental" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Oublie" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Dispertion" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Ombrefiel" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Entrave des mort-vivants" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Penitance" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Cri psychique" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Extase" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Chatiment" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Suppression de la douleur" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Soin" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Esprit gardien" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Flammes sacrées" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Hymne divin" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Nova sacrée" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Prière de guérrison" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Prière de soins" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Prière du désespoir" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Rénovation" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Saut de foi" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Soin rapide" ?	Le prêtre						Sort/joueur	
	A quelle classe appartient le sort "Effusion" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Cocon de vie" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Paralysie" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Regain" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Réceptacle d'essence" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Persiflage" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Reveille" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Vivifier" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Détoxification" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Frappe du voile noir" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Extraction du mal" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Infusion purificatrice" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Infusion peau-de-fer" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Pique de main" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Souffle de feu" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Transcendance" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Frappe aveuglante" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Fracasse-tonneau" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Handicap" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Toucher du karma" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Toucher mortel" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Poings de fureur" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Tempête, Terre et Feu" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Roulade" ?	Le moine						Sort/joueur	
	A quelle classe appartient le sort "Afflux de soins" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Cisaille de vent" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Eclair" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Esprit ancestral" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Eplosion de lave" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Héroïsme" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Loup fantôme" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Maléfice" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Marche sur l'eau" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Orage" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Purge" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Purifier l'esprit" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Rappel astral" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Séisme" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Transfert astral" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Arme de givre" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Croque-roc" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Esprit farouche" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Fouet de lave" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Frappe-tempête" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Impact foudroyant" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Langue de feu" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Marche de l'esprit" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Grâce du marcheur des esprits" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Remous" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Vague de soins" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Salve de guérison" ?	Le chaman						Sort/joueur	
	A quelle classe appartient le sort "Aspect de la Nature" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Aspect de la tortue" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Aspect du guépard" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Aspect du l'aigle" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Courroux bestial" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Désengagement" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Détournement" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Enthousiasme" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Feindre la mort" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Bête féroce" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Fusée éclairante" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Ordre de tuer" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Trait de choc" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Oeil d'aigle" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Crotales cornus" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Visée" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Précision" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Attaque du raptor" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Coupure d'ailes" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Echarper" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Frappe latérale" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Harpon" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Lacérer" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Lancer de hachette" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Morsure de mangouste" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Muselière" ?	Le chasseur						Sort/joueur	
	A quelle classe appartient le sort "Bond héroïque" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Brise-genou" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Cri de bataille" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Charge" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Enchaînement" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Exécution" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Frappe du colosse" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Frappe mortelle" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Heurtoir" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Ivresse de la victoire" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Lancer héroïque" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Par le fil de l'épée" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Provocation" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Rage de berserker" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Tempête de lame" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Tourbillon" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Volée de coups" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Coup déchaîné" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Entaille furieuse" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Hurlement perçant" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Régénération enragée" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Saccager" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Sanguinaire" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Coup de tonnerre" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Dernier rempart" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Dévaster" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Dur au mal" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Heurt de bouclier" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Interception" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Maîtrise du blocage" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Mur protecter" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Renvoi de sort" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Revanche" ?	Le guerrier						Sort/joueur	
	A quelle classe appartient le sort "Barrage des Arcanes" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Barrière prismatique" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Bloc de glace" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Chute lente" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Contresort" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Déflagration des Arcanes" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Déplacement" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Distorsion temporelle" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Evocation" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Explosion des Arcanes" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Lenteur" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Nova de givre" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Pouvoir des Arcanes" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Présence spirituelle" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Projectiles des Arcanes" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Transfert" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Invisibilité" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Souffle du dragon" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Trait de feu" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Vol de sort" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Barrière de glace" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Blizzard" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Cône de froid" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Frimaire" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Javelot de glace" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Orbe gelé" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Rafale" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Veines glaciales" ?	Le mage						Sort/joueur	
	A quelle classe appartient le sort "Arme runique dansante" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Asphyxier" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Asservir un mort-vivant" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Carapace anti-magie" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Caresse de la mort" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Déchirure de moelle" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Emprise de Fielsang" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Explosion morbide" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Frappe au coeur" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Frappe de mort" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Furoncle sanglant" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Gel de l'esprit" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Marche spectrale" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Passage de givre" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Poigne de la mort" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Porte de la mort" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Réanimation d'un allié" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Robustesse glaciale" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Sang vampirique" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Sombre ordre" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Anéantissement" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Chaînes de glace" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Frappe de givre" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Hiver impitoyable" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Pilier de givre" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Rafale hurlante" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Renforcer d'larme runique" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Armée des morts" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Frappe purulente" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Frappe du Fléau" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Invocation d'une gargouille" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Mort et décomposition" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Poussée de fièvre" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Réanimation morbide" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Sombre transformation" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Voile mortel" ?	Le chevalier de la mort						Sort/joueur	
	A quelle classe appartient le sort "Aiguillon perfide" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Assommer" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Camouflage" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Cape d'ombre" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Cécité" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Coup bas" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Coup de pied" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Couteau empoisonné" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Crochetage" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Disparition" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Distraction" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Envenimer" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Estropier" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Evasion" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Eventail de couteaux" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Feinte" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Ficelles du métier" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Fiole cramoisie" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Garrot" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Pas de l'ombre" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Rupture" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Sprint" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Vendetta" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Voile de dissimulation" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Vol à la tire" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Coup de pistolet" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Coup de sabre" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Déluge de lames" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Ambuscade" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Entre les deux yeux" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Jet d'osselets" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Percée" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Pot de vin" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Poussée d'adrénaline" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Riposte" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Suriner" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Attaque sournoise" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Danse de l'ombre" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Eviscération" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Frappe-ténébres" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Lamenuit" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Lames de l'ombre" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Lancer de shuriken" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Symboles de mort" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Tempête de shurikens" ?	Le voleur						Sort/joueur	
	A quelle classe appartient le sort "Alignement céleste" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Célérité" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Courroux solaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Frappe lunaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Eclat lunaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Eclat solaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Délivrance de la corruption" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Ecorce" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Eruption stellaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Innervation" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Météores" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Rayon solaire" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Renaissance" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Ressusciter" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Rôder" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Sarments" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Croissance sauvage" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Ecorcefer" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Efflorescence" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Fleur de vie" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Prompte guérison" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Recupération" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Rétablissement" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Revitalisation" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Soins naturels" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Toucher guérisseur" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Tranquillité" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Vortex d'Ursol" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Balayage" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Berserk" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Coup de crâne" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Déchirure" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Estropier" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Fureur du tigre" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Griffure" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Grondement" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Instincts de survie" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Lambeau" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Morsure féroce" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Rosser" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Ruée rugissante" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Ferpoil" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Mutilation" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Mutiler" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Régénération frénétique" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Rugissement incapacitant" ?	Le druide						Sort/joueur	
	A quelle classe appartient le sort "Bouclier divin" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Bouclier du vengeur" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Courroux vengeur" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Jugement" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Lame de justice" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Frappe du croisé" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Main de rétribution" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Main d'entrave" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Marteau de la justice" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Purification des toxines" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Rédemption" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Réprimandes" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Tempête divine" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Verdict du templier" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Ardent défenseur" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Bouclier du vertueux" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Consécration" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Gardien des anciens rois" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Lumière du protecteur" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Marteux du vertueux" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Marteau de la justice" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Absolution" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Eclair lumineux" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Epuration" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Guide de lumière" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Horion sacré" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Lumière de l'aube" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Lumière du martyr" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Lumière sacrée" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Maitrise des auras" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Protection divine" ?	Le paladin						Sort/joueur	
	A quelle classe appartient le sort "Danse des lames" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Emprisonnement" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Frappe du chaos" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Morsure du démon" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Lancer de glaive" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Manavore" ?	Le chasseur de démons						Sort/joueur	
	A quelle classe appartient le sort "Métamorphose" ?	Le chasseur de démons						Sort/joueur	
